Date,Type,Route Name,Distance (mi),Duration,Average Pace,Average Speed (mph),Calories Burned,Climb (ft),Average Heart Rate (bpm),Notes,GPX File
2016-01-27 08:52:49,Other,,5.85,14:13,2:26,24.65,230.0,30.59,,"503",2016-01-27-0852.gpx
2016-01-26 17:21:53,Other,,5.86,16:12,2:46,21.67,280.0,35.88,,"517",2016-01-26-1721.gpx
2016-01-26 07:43:43,Other,,5.85,14:11,2:26,24.71,232.0,33.11,,"506",2016-01-26-0743.gpx
2016-01-25 17:21:54,Other,,5.85,15:02,2:34,23.32,264.0,33.85,,,2016-01-25-1721.gpx
2016-01-25 07:37:48,Other,,5.87,12:30,2:08,28.14,222.0,32.53,,"505",2016-01-25-0737.gpx
2016-01-22 15:34:20,Other,,5.85,14:37,2:30,24.00,263.0,35.91,,,2016-01-22-1534.gpx
2016-01-22 08:52:28,Other,,5.85,13:38,2:20,25.72,238.0,28.92,,"503",2016-01-22-0852.gpx
2016-01-21 17:35:17,Other,,5.85,15:12,2:36,23.08,267.0,35.65,,"513",2016-01-21-1735.gpx
2016-01-21 07:37:52,Other,,5.85,12:14,2:06,28.66,219.0,27.65,,"505",2016-01-21-0737.gpx
2016-01-20 18:13:54,Other,,5.98,17:43,2:58,20.22,277.0,35.55,,"505",2016-01-20-1813.gpx
2016-01-20 08:34:07,Other,,5.91,13:10,2:14,26.92,234.0,11.91,,"510",2016-01-20-0834.gpx
2016-01-19 17:36:27,Other,,5.88,18:07,3:05,19.47,293.0,35.45,,,2016-01-19-1736.gpx
2016-01-19 08:18:38,Other,,5.89,12:34,2:08,28.07,222.0,30.49,,"509",2016-01-19-0818.gpx
2016-01-18 17:10:59,Other,,5.86,15:30,2:39,22.65,273.0,34.73,,"512",2016-01-18-1710.gpx
2016-01-18 07:45:16,Other,,5.86,12:49,2:11,27.39,226.0,29.00,,"506",2016-01-18-0745.gpx
2016-01-15 14:43:31,Other,,5.91,17:07,2:54,20.70,277.0,32.49,,,2016-01-15-1443.gpx
2016-01-15 07:59:37,Other,,5.85,14:05,2:25,24.89,247.0,32.38,,"507",2016-01-15-0759.gpx
2016-01-14 17:22:24,Other,,5.88,14:30,2:28,24.31,252.0,35.64,,,2016-01-14-1722.gpx
2016-01-14 07:56:46,Other,,5.86,12:34,2:09,27.96,222.0,27.76,,"507",2016-01-14-0756.gpx
2016-01-13 17:33:15,Other,,5.86,17:36,3:01,19.94,293.0,37.00,,,2016-01-13-1733.gpx
2016-01-13 08:12:07,Other,,5.84,16:14,2:47,21.58,268.0,34.91,,"Dropped off a worker on the tracks around Loyola.",2016-01-13-0812.gpx
2016-01-12 08:34:05,Other,,5.89,12:53,2:11,27.41,228.0,32.67,,,2016-01-12-0834.gpx
2016-01-11 17:34:26,Other,,5.82,15:02,2:35,23.19,262.0,36.88,,,2016-01-11-1734.gpx
2016-01-11 07:59:06,Other,,5.89,13:35,2:19,25.98,232.0,31.55,,"Belmont to Howard",2016-01-11-0759.gpx
